URL encoded name;decoded name;rarity
AK-47%20%7C%20Aquamarine%20Revenge%20(Battle-Scarred);AK-47 | Aquamarine Revenge (Battle-Scarred);red
AK-47%20%7C%20Aquamarine%20Revenge%20(Factory%20New);AK-47 | Aquamarine Revenge (Factory New);red
AK-47%20%7C%20Aquamarine%20Revenge%20(Field-Tested);AK-47 | Aquamarine Revenge (Field-Tested);red
AK-47%20%7C%20Aquamarine%20Revenge%20(Minimal%20Wear);AK-47 | Aquamarine Revenge (Minimal Wear);red
AK-47%20%7C%20Aquamarine%20Revenge%20(Well-Worn);AK-47 | Aquamarine Revenge (Well-Worn);red
AK-47%20%7C%20Asiimov%20(Battle-Scarred);AK-47 | Asiimov (Battle-Scarred);red
AK-47%20%7C%20Asiimov%20(Factory%20New);AK-47 | Asiimov (Factory New);red
AK-47%20%7C%20Asiimov%20(Field-Tested);AK-47 | Asiimov (Field-Tested);red
AK-47%20%7C%20Asiimov%20(Minimal%20Wear);AK-47 | Asiimov (Minimal Wear);red
AK-47%20%7C%20Asiimov%20(Well-Worn);AK-47 | Asiimov (Well-Worn);red
AK-47%20%7C%20Baroque%20Purple%20(Battle-Scarred);AK-47 | Baroque Purple (Battle-Scarred);lightblue
AK-47%20%7C%20Baroque%20Purple%20(Factory%20New);AK-47 | Baroque Purple (Factory New);lightblue
AK-47%20%7C%20Baroque%20Purple%20(Field-Tested);AK-47 | Baroque Purple (Field-Tested);lightblue
AK-47%20%7C%20Baroque%20Purple%20(Minimal%20Wear);AK-47 | Baroque Purple (Minimal Wear);lightblue
AK-47%20%7C%20Baroque%20Purple%20(Well-Worn);AK-47 | Baroque Purple (Well-Worn);lightblue
AK-47%20%7C%20Black%20Laminate%20(Battle-Scarred);AK-47 | Black Laminate (Battle-Scarred);blue
AK-47%20%7C%20Black%20Laminate%20(Factory%20New);AK-47 | Black Laminate (Factory New);blue
AK-47%20%7C%20Black%20Laminate%20(Field-Tested);AK-47 | Black Laminate (Field-Tested);blue
AK-47%20%7C%20Black%20Laminate%20(Minimal%20Wear);AK-47 | Black Laminate (Minimal Wear);blue
AK-47%20%7C%20Black%20Laminate%20(Well-Worn);AK-47 | Black Laminate (Well-Worn);blue
AK-47%20%7C%20Bloodsport%20(Factory%20New);AK-47 | Bloodsport (Factory New);red
AK-47%20%7C%20Bloodsport%20(Field-Tested);AK-47 | Bloodsport (Field-Tested);red
AK-47%20%7C%20Bloodsport%20(Minimal%20Wear);AK-47 | Bloodsport (Minimal Wear);red
AK-47%20%7C%20Bloodsport%20(Well-Worn);AK-47 | Bloodsport (Well-Worn);red
AK-47%20%7C%20Blue%20Laminate%20(Factory%20New);AK-47 | Blue Laminate (Factory New);purple
AK-47%20%7C%20Blue%20Laminate%20(Field-Tested);AK-47 | Blue Laminate (Field-Tested);purple
AK-47%20%7C%20Blue%20Laminate%20(Minimal%20Wear);AK-47 | Blue Laminate (Minimal Wear);purple
AK-47%20%7C%20Blue%20Laminate%20(Well-Worn);AK-47 | Blue Laminate (Well-Worn);purple
AK-47%20%7C%20Cartel%20(Battle-Scarred);AK-47 | Cartel (Battle-Scarred);pink
AK-47%20%7C%20Cartel%20(Factory%20New);AK-47 | Cartel (Factory New);pink
AK-47%20%7C%20Cartel%20(Field-Tested);AK-47 | Cartel (Field-Tested);pink
AK-47%20%7C%20Cartel%20(Minimal%20Wear);AK-47 | Cartel (Minimal Wear);pink
AK-47%20%7C%20Cartel%20(Well-Worn);AK-47 | Cartel (Well-Worn);pink
AK-47%20%7C%20Elite%20Build%20(Battle-Scarred);AK-47 | Elite Build (Battle-Scarred);blue
AK-47%20%7C%20Elite%20Build%20(Factory%20New);AK-47 | Elite Build (Factory New);blue
